
2024/09/23 (11:47:33) | ===> btop++ v.1.4.0
2024/09/23 (11:47:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (19:32:24) | ===> btop++ v.1.4.0
2024/09/23 (19:32:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (19:33:09) | ===> btop++ v.1.4.0
2024/09/23 (19:33:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (20:13:59) | ===> btop++ v.1.4.0
2024/09/23 (20:13:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (20:14:53) | ===> btop++ v.1.4.0
2024/09/23 (20:14:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (23:04:31) | ===> btop++ v.1.4.0
2024/09/23 (23:04:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (00:33:49) | ===> btop++ v.1.4.0
2024/09/24 (00:33:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (20:59:03) | ===> btop++ v.1.4.0
2024/09/24 (20:59:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (20:59:15) | ===> btop++ v.1.4.0
2024/09/24 (20:59:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (21:40:31) | ===> btop++ v.1.4.0
2024/09/24 (21:40:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (22:46:24) | ===> btop++ v.1.4.0
2024/09/24 (22:46:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (02:55:14) | ===> btop++ v.1.4.0
2024/09/25 (02:55:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (20:50:54) | ===> btop++ v.1.4.0
2024/09/26 (20:50:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (00:29:05) | ===> btop++ v.1.4.0
2024/09/27 (00:29:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (20:01:28) | ===> btop++ v.1.4.0
2024/10/04 (20:01:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (20:02:32) | ===> btop++ v.1.4.0
2024/10/04 (20:02:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (20:04:38) | ===> btop++ v.1.4.0
2024/10/04 (20:04:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (20:31:56) | ===> btop++ v.1.4.0
2024/10/04 (20:31:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (22:28:04) | ===> btop++ v.1.4.0
2024/10/07 (22:28:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:34:45) | ===> btop++ v.1.4.0
2024/10/08 (18:34:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:44:51) | ===> btop++ v.1.4.0
2024/10/08 (18:44:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (18:53:02) | ===> btop++ v.1.4.0
2024/10/08 (18:53:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (19:00:42) | ===> btop++ v.1.4.0
2024/10/08 (19:00:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (17:41:18) | ===> btop++ v.1.4.0
2024/10/09 (17:41:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (00:52:29) | ===> btop++ v.1.4.0
2024/10/10 (00:52:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (01:53:52) | ===> btop++ v.1.4.0
2024/10/10 (01:53:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (15:23:43) | ===> btop++ v.1.4.0
2024/10/10 (15:23:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (22:10:42) | ===> btop++ v.1.4.0
2024/10/13 (22:10:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (14:22:41) | ===> btop++ v.1.4.0
2024/10/16 (14:22:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (23:26:33) | ===> btop++ v.1.4.0
2024/10/19 (23:26:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (14:25:09) | ===> btop++ v.1.4.0
2024/10/20 (14:25:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (02:44:29) | ===> btop++ v.1.4.0
2024/10/21 (02:44:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (20:11:44) | ===> btop++ v.1.4.0
2024/11/02 (20:11:44) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/11/02 (20:12:45) | ===> btop++ v.1.4.0
2024/11/02 (20:12:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/11/02 (20:12:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (21:10:43) | ===> btop++ v.1.4.0
2024/11/07 (21:10:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (11:31:41) | ===> btop++ v.1.4.0
2024/11/08 (11:31:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (13:28:04) | ===> btop++ v.1.4.0
2024/11/09 (13:28:04) | WARNING: Intel GPU: Failed to initialize PMU
